,word,sense_index,name,lexname,pos,definition,examples
0,cracker,0,cracker.n.01,noun.food,n,a thin crisp wafer made of flour and water with or without leavening and shortening; unsweetened or semisweet,
1,cracker,1,redneck.n.01,noun.person,n,a poor White person in the southern United States,
2,cracker,2,cracker.n.03,noun.person,n,"a programmer who cracks (gains unauthorized access to) computers, typically to do malicious things",crackers are often mistakenly called hackers
3,cracker,3,firecracker.n.01,noun.artifact,n,firework consisting of a small explosive charge and fuse in a heavy paper casing,
4,cracker,4,cracker.n.05,noun.artifact,n,a party favor consisting of a paper roll (usually containing candy or a small favor) that pops when pulled at both ends,
0,peekaboo,0,peekaboo.n.01,noun.act,n,a game played with young children; you hide your face and suddenly reveal it as you say boo!,
0,water,0,water.n.01,noun.substance,n,binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent,
1,water,1,body_of_water.n.01,noun.object,n,the part of the earth's surface covered with water (such as a river or lake or ocean),they invaded our territorial waters;they were sitting by the water's edge
2,water,2,water.n.03,noun.substance,n,once thought to be one of four elements composing the universe (Empedocles),
3,water,3,water_system.n.02,noun.artifact,n,a facility that provides a source of water,the town debated the purification of the water supply;first you have to cut off the water
4,water,4,urine.n.01,noun.substance,n,liquid excretory product,there was blood in his urine;the child had to make water
5,water,5,water.n.06,noun.food,n,a liquid necessary for the life of most animals and plants,he asked for a drink of water
6,water,6,water.v.01,verb.change,v,"supply with water, as with channels or ditches or streams",Water the fields
7,water,7,water.v.02,verb.possession,v,provide with water,We watered the buffalo
8,water,8,water.v.03,verb.body,v,"secrete or form water, as tears or saliva",My mouth watered at the prospect of a good dinner;His eyes watered
9,water,9,water.v.04,verb.change,v,fill with tears,His eyes were watering
0,diaper,0,diaper.n.01,noun.artifact,n,garment consisting of a folded cloth drawn up between the legs and fastened at the waist; worn by infants to catch excrement,
1,diaper,1,diaper.n.02,noun.artifact,n,a fabric (usually cotton or linen) with a distinctive woven pattern of small repeated figures,
0,go,0,go.n.01,noun.time,n,a time for working (after which you will be relieved by someone else),it's my go;a spell of work
1,go,1,adam.n.03,noun.artifact,n,street names for methylenedioxymethamphetamine,
2,go,2,crack.n.09,noun.act,n,a usually brief attempt,he took a crack at it;I gave it a whirl
3,go,3,go.n.04,noun.act,n,a board game for two players who place counters on a grid; the object is to surround and so capture the opponent's counters,
4,go,4,travel.v.01,verb.motion,v,"change location; move, travel, or proceed, also metaphorically",How fast does your new car go?;We travelled from Rome to Naples by bus;The policemen went from door to door looking for the suspect;The soldiers moved towards the city in an attempt to take it before night fell;news travelled fast
5,go,5,go.v.02,verb.social,v,follow a procedure or take a course,We should go farther in this matter;She went through a lot of trouble;go about the world in a certain manner;Messages must go through diplomatic channels
6,go,6,go.v.03,verb.motion,v,move away from a place into another direction,Go away before I start to cry;The train departs at noon
7,go,7,become.v.01,verb.change,v,enter or assume a certain state or condition,He became annoyed when he heard the bad news;It must be getting more serious;her face went red with anger;She went into ecstasy;Get going!
8,go,8,go.v.05,verb.stative,v,be awarded; be allotted,The first prize goes to Mary;Her money went on clothes
9,go,9,run.v.05,verb.stative,v,have a particular form,the story or argument runs as follows;as the saying goes...
10,go,10,run.v.03,verb.stative,v,"stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point",Service runs all the way to Cranbury;His knowledge doesn't go very far;My memory extends back to my fourth year of life;The facts extend beyond a consideration of her personal assets
11,go,11,proceed.v.04,verb.change,v,follow a certain course,The inauguration went well;how did your interview go?
12,go,12,go.v.09,verb.change,v,be abolished or discarded,These ugly billboards have to go!;These luxuries all had to go under the Khmer Rouge
13,go,13,go.v.10,verb.stative,v,be or continue to be in a certain condition,The children went hungry that day
14,go,14,sound.v.02,verb.perception,v,make a certain noise or sound,She went `Mmmmm';The gun went `bang'
15,go,15,function.v.01,verb.contact,v,perform as expected when applied,The washing machine won't go unless it's plugged in;Does this old car still run well?;This old radio doesn't work anymore
16,go,16,run_low.v.01,verb.consumption,v,to be spent or finished,The money had gone after a few days;Gas is running low at the gas stations in the Midwest
17,go,17,move.v.13,verb.change,v,progress by being changed,The speech has to go through several more drafts;run through your presentation before the meeting
18,go,18,survive.v.01,verb.stative,v,continue to live through hardship or adversity,We went without water and food for 3 days;These superstitions survive in the backwaters of America;The race car driver lived through several very serious accidents;how long can a person last without food and water?
19,go,19,go.v.16,verb.stative,v,"pass, fare, or elapse; of a certain state of affairs or action",How is it going?;The day went well until I got your call
20,go,20,die.v.01,verb.change,v,pass from physical life and lose all bodily attributes and functions necessary to sustain life,She died from cancer;The children perished in the fire;The patient went peacefully;The old guy kicked the bucket at the age of 102
21,go,21,belong.v.03,verb.stative,v,be in the right place or situation,Where do these books belong?;Let's put health care where it belongs--under the control of the government;Where do these books go?
22,go,22,go.v.19,verb.stative,v,be ranked or compare,This violinist is as good as Juilliard-trained violinists go
23,go,23,start.v.09,verb.motion,v,begin or set in motion,"I start at eight in the morning;Ready, set, go!"
24,go,24,move.v.15,verb.competition,v,have a turn; make one's move in a game,Can I go now?
25,go,25,go.v.22,verb.stative,v,be contained in,How many times does 18 go into 54?
26,go,26,go.v.23,verb.stative,v,"be sounded, played, or expressed",How does this song go again?
27,go,27,blend.v.02,verb.stative,v,blend or harmonize,This flavor will blend with those in your dish;This sofa won't go with the chairs
28,go,28,go.v.25,verb.stative,v,"lead, extend, or afford access",This door goes to the basement;The road runs South
29,go,29,fit.v.02,verb.stative,v,be the right size or shape; fit correctly or as desired,This piece won't fit into the puzzle
30,go,30,rifle.v.02,verb.contact,v,go through in search of something; search through someone's belongings in an unauthorized way,Who rifled through my desk drawers?
31,go,31,go.v.28,verb.consumption,v,be spent,All my money went for food and rent
32,go,32,plump.v.04,verb.cognition,v,give support (to) or make a choice (of) one out of a group or number,I plumped for the losing candidates
33,go,33,fail.v.04,verb.change,v,stop operating or functioning,The engine finally went;The car died on the road;The bus we travelled in broke down on the way to town;The coffee maker broke;The engine failed on the way to town;her eyesight went after the accident
34,go,34,go.a.01,adj.all,a,functioning correctly and ready for action,all systems are go
